X,Y,date
37.566666667,18.1666666670001,1986-11-25 00:00:00+00:00
37.9,18.4333333330001,1986-11-25 00:00:00+00:00
37.766666667,18.316666667,1986-11-25 00:00:00+00:00
37.6833333330001,18.333333333,1986-11-25 00:00:00+00:00
37.6833333330001,18.3000000000001,1986-11-25 00:00:00+00:00
10.1833333330001,24.1,1986-11-12 00:00:00+00:00
8.08333333300004,19.1666666670001,1986-10-05 00:00:00+00:00
8.25000000000006,19.016666667,1986-10-05 00:00:00+00:00
23.661388889,12.9,1986-10-19 00:00:00+00:00
51.0000000000001,21.0000000000001,1986-10-01 00:00:00+00:00
10.284722222,23.824722222,1986-11-12 00:00:00+00:00
8.15500000000003,18.8688888890001,1986-09-21 00:00:00+00:00
8.15750000000003,18.8691666670001,1986-09-24 00:00:00+00:00
8.15611111100003,18.8688888890001,1986-09-23 00:00:00+00:00
7.99222222200007,18.895,1986-09-24 00:00:00+00:00
7.94111111100005,19.137777778,1986-09-30 00:00:00+00:00
7.94000000000005,19.136388889,1986-09-30 00:00:00+00:00
38.3641666670001,17.253055556,1986-06-25 00:00:00+00:00
37.6833333330001,18.333333333,1986-12-05 00:00:00+00:00
37.7,18.333333333,1986-12-05 00:00:00+00:00
44.6000000000001,10.3833333330001,1986-01-25 00:00:00+00:00
3.64194444400005,17.971944444,1986-11-08 00:00:00+00:00
39.035,22.8036111110001,1986-04-06 00:00:00+00:00
39.035,22.8036111110001,1986-04-07 00:00:00+00:00
39.2500000000001,16.0000000000001,1986-07-05 00:00:00+00:00
39.1166666670001,16.6333333330001,1986-12-23 00:00:00+00:00
30.8000000000001,14.1833333330001,1986-10-20 00:00:00+00:00
3.63333333300005,17.966666667,1986-11-08 00:00:00+00:00
71.8000000000001,26.9166666670001,1986-09-16 00:00:00+00:00
69.9833333330001,27.1333333330001,1986-09-26 00:00:00+00:00
69.8666666670001,26.9833333330001,1986-09-26 00:00:00+00:00
31.1166666670001,13.7,1986-12-05 00:00:00+00:00
32.5000000000001,12.4833333330001,1986-12-05 00:00:00+00:00
39.1166666670001,16.6333333330001,1986-12-23 00:00:00+00:00
8.28500000000003,18.820555556,1986-10-05 00:00:00+00:00
6.36305555600006,18.9244444440001,1986-10-13 00:00:00+00:00
45.2500000000001,24.0500000000001,1986-06-01 00:00:00+00:00
-12.0077777779999,18.456944444,1986-08-05 00:00:00+00:00
47.4,13.9166666670001,1986-09-25 00:00:00+00:00
47.0500000000001,14.1333333330001,1986-11-15 00:00:00+00:00
38.766666667,23.7333333330001,1986-02-09 00:00:00+00:00
39.3500000000001,25.6333333330001,1986-02-10 00:00:00+00:00
39.3500000000001,25.6333333330001,1986-02-11 00:00:00+00:00
37.270833333,25.026388889,1986-02-17 00:00:00+00:00
37.270833333,25.026388889,1986-02-18 00:00:00+00:00
39.1000000000001,16.466666667,1986-12-20 00:00:00+00:00
39.0000000000001,16.8000000000001,1986-12-05 00:00:00+00:00
38.833333333,16.466666667,1986-12-27 00:00:00+00:00
37.8833333330001,18.3000000000001,1986-12-15 00:00:00+00:00
37.8500000000001,18.316666667,1986-12-15 00:00:00+00:00
37.8500000000001,18.35,1986-12-15 00:00:00+00:00
37.8000000000001,18.35,1986-12-15 00:00:00+00:00
37.7,18.333333333,1986-12-15 00:00:00+00:00
1.98333333300008,17.7,1986-10-14 00:00:00+00:00
-11.9875,18.2519444440001,1986-08-05 00:00:00+00:00
1.93527777800006,17.468611111,1986-11-14 00:00:00+00:00
8.50000000000006,18.0000000000001,1986-10-30 00:00:00+00:00
39.1666666670001,22.283333333,1986-03-04 00:00:00+00:00
30.766666667,14.1,1986-10-21 00:00:00+00:00
30.8000000000001,14.1833333330001,1986-10-24 00:00:00+00:00
30.8000000000001,14.1833333330001,1986-10-24 00:00:00+00:00
30.8000000000001,14.1833333330001,1986-10-24 00:00:00+00:00
2.57916666700004,17.3105555560001,1986-10-25 00:00:00+00:00
38.0500000000001,24.083333333,1986-02-15 00:00:00+00:00
38.766666667,25.9333333330001,1986-04-01 00:00:00+00:00
40.2333333330001,14.2,1986-07-15 00:00:00+00:00
39.2,16.2500000000001,1986-07-15 00:00:00+00:00
43.3152777780001,14.191666667,1986-08-10 00:00:00+00:00
39.3666666670001,14.9166666670001,1986-07-15 00:00:00+00:00
39.4166666670001,14.6833333330001,1986-07-15 00:00:00+00:00
38.5000000000001,14.833333333,1986-07-15 00:00:00+00:00
38.8666666670001,17.583333333,1986-07-05 00:00:00+00:00
2.08333333300004,17.45,1986-11-07 00:00:00+00:00
-12.2599999999999,18.4975000000001,1986-11-26 00:00:00+00:00
39.1730555560001,21.5436111110001,1986-11-21 00:00:00+00:00
38.766666667,23.7333333330001,1986-11-21 00:00:00+00:00
39.816666667,21.4333333330001,1986-11-25 00:00:00+00:00
8.06527777800005,19.1183333330001,1986-10-15 00:00:00+00:00
8.73083333300002,19.073888889,1986-10-05 00:00:00+00:00
8.88666666700004,18.8502777780001,1986-10-05 00:00:00+00:00
7.94055555600005,19.1116666670001,1986-09-30 00:00:00+00:00
7.94166666700005,19.1141666670001,1986-10-01 00:00:00+00:00
8.18944444400006,19.6763888890001,1986-09-30 00:00:00+00:00
2.51666666700004,17.271666667,1986-09-14 00:00:00+00:00
2.91666666700007,17.583333333,1986-10-05 00:00:00+00:00
2.91666666700007,17.583333333,1986-10-05 00:00:00+00:00
31.8833333330001,14.6,1986-12-27 00:00:00+00:00
70.5000000000001,27.2,1986-10-05 00:00:00+00:00
2.13944444400005,17.565555556,1986-11-03 00:00:00+00:00
41.1166666670001,19.15,1986-01-15 00:00:00+00:00
43.5000000000001,11.35,1986-06-21 00:00:00+00:00
-11.8,19.083333333,1986-08-05 00:00:00+00:00
-12.466666667,18.6666666670001,1986-08-05 00:00:00+00:00
39.2,21.4833333330001,1986-11-20 00:00:00+00:00
39.6000000000001,24.466666667,1986-11-24 00:00:00+00:00
1.50000000000006,19.0000000000001,1986-11-05 00:00:00+00:00
39.2,21.4833333330001,1986-11-26 00:00:00+00:00
39.2,21.4833333330001,1986-11-27 00:00:00+00:00
39.2,21.4833333330001,1986-11-28 00:00:00+00:00
41.083333333,20.1666666670001,1986-11-30 00:00:00+00:00
7.33333333300004,18.1833333330001,1986-09-29 00:00:00+00:00
8.40000000000003,19.066666667,1986-09-29 00:00:00+00:00
41.1166666670001,19.15,1986-12-17 00:00:00+00:00
41.1166666670001,19.15,1986-12-20 00:00:00+00:00
41.1166666670001,19.15,1986-12-21 00:00:00+00:00
41.1166666670001,19.15,1986-12-26 00:00:00+00:00
41.1166666670001,19.15,1986-12-26 00:00:00+00:00
41.1166666670001,19.15,1986-12-27 00:00:00+00:00
41.1166666670001,19.15,1986-12-29 00:00:00+00:00
38.9333333330001,16.466666667,1986-08-05 00:00:00+00:00
38.7500000000001,16.45,1986-08-05 00:00:00+00:00
